SITE_ID,LATITUDE,LONGITUDE,MAX_HEIGHT_M,SITE_NAME,STATUS
4425,-33.802356,151.101915,31.3,"Telstra Site reservoir at 343 Blaxland Rd RYDE",MATCHED
204910,-33.885093,151.237144,33.1,"Telstra/Hutchison Site 204-232 Jersey Rd WOOLLAHRA",MATCHED
135140,-33.749267,151.065258,17.0,"Optus Site Beecroft 16-24 Hannah St BEECROFT",MATCHED
4253,-33.738671,151.200521,23.0,"Telstra Site Hakea Ave Substation DAVIDSON",MATCHED
204575,-33.867778,151.00799,30.0,"Hutchison Site 46-52 Ferndell St South GRANVILLE",MATCHED
9007134,-33.690389,150.925887,5.0,"Telstra Site Rouse Hill Town Centre Main Street ROUSE HILL",MATCHED
9009013,-34.60594,150.846135,34.2,"3GIS site 21 Buckleys Rd DUNMORE",MATCHED
203555,-33.87434,151.21341,32.6,"CMTS Site Australian Museum 1 William St DARLINGHURST",MATCHED
202690,-33.934564,151.157195,45.7,"CMTS Site 20 Levey St ARNCLIFFE",MATCHED
130599,-33.605035,151.326798,16.7,"Sydney Reservoir Optus Site Boanbong Road PALM BEACH",MATCHED
202827,-33.96805,150.90451,40.8,"Telstra/Vodafone Site Cambridge Avenue Glenfield GLENFIELD",MATCHED
4626,-33.838312,151.0925,50.0,"Hospital Rd CONCORD",MATCHED
9008329,-34.576529,150.845916,14.6,"3GIS Site Cnr Wattle  Rd &  Urana Way BLACKBUTT",MATCHED
4550,-33.890333,151.127709,29.0,"CMTS/Airservices Site 164-174 Liverpool Rd ASHFIELD",MATCHED
203046,-33.828842,151.229472,27.2,"Optus Site 287 Military Rd CREMORNE JUNCTION",MATCHED
3749,-33.87339,151.27426,14.0,"Telstra Site 64 Dover Rd ROSE BAY",MATCHED
133430,-33.86345,151.202184,42.0,"Telstra Site 30 Hickson Rd MILLERS POINT",MATCHED
204930,-33.733923,150.892514,32.4,"Hutchison Site Wright Reserve Pye Rd QUAKERS HILL",MATCHED
9007751,-32.94184,151.75489,22.0,"Telstra Site Merewether St MEREWETHER",MATCHED
133173,-32.8834,151.26345,30.0,"Telstra Site Shingle Gully Rd MILLFIELD",MATCHED
9010873,-34.05496,150.695747,13.4,"Telstra RBS Site 118 Argyle St CAMDEN",MATCHED
9013453,-33.378599,151.458769,35.0,"Telstra - John Henry Close Res 91w Eastern Rd BATEAU BAY",MATCHED
6025,-33.009246,151.673107,21.0,"Telstra Site reservoir",MATCHED
9008882,-34.344168,150.905376,12.0,"Wooona RSL RBS 455 Princes  Hwy WOONONA",MATCHED
