SITE_ID,LATITUDE,LONGITUDE,SITE_NAME,NOTES
10000230,-26.58863,153.00966,"NBN Co 184 Kirra Road Maroochy River","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000231,-26.60806,152.88304,"NBN Co 96 Willandra Place Kureelpa","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000237,-26.62655,152.89194,"NBN Co Site 32 De Vere Road KUREELPA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000238,-33.796412,151.139463,"Site shed 1 Epping Road North Ryde","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000247,-32.135394,115.92428,"DGPS Transmitter Nicholson Road PIARA WATERS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000250,-28.243222,153.371089,"NBN Co Site Tomewin Mountain Road Currumbin Valley","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000254,-37.40944,144.58297,"RINGWOOD-V 21 PINE CR RINGWOOD NORTH","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000255,-27.689563,153.211644,"Palm Lake Resort 272 Fryar Road Eagleby","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000256,-32.548485,115.703059,"Halls Head Central Shopping Centre 14 Guava Way Halls Head","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000263,-37.798,144.9679,"Lygon Court Shopping Centre 380 Lygon Street CARLTON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000266,-12.4605,130.96489,"3/104 McKinnon Road Pinelands","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000267,-28.645465,153.613883,"Roof Top 6 Marvell Street Byron Bay","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000269,-37.1924,140.889014,"Fire Tower Off Cumaum Forest Road Cumaum","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000288,-36.8861,149.89722,"Splash Hillcrest Site 95-97 Merimbula Drive Merimbula","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000289,-32.016675,115.936527,"Tower Crane 18 Cecil Avenue CANNINGTON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000290,-37.811099,144.857783,"425 Somerville Road West Footscray","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000293,-28.169722,153.515278,"Construction Site Terminal Dr COOLANGATTA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000294,-37.813418,144.967861,"131 Russell St MELBOURNE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000295,-34.845313,138.560571,"153 Francis Rd WINGFIELD","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000296,-37.684152,144.948506,"75 Northcorp Boulevard Broadmeadows","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000299,-27.8076,153.09282,"NBNCo 775 Camp Cable Road Logan Village","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
